id,feet,median
sg:be3063884ea64edcb36e1520ee85ba1a,5010,9.0
sg:d36150b481a74e89819a8d5bbf82279a,15613,12.5
sg:8e84601099f04fcf929b305c2938d8c2,8051,14.0
sg:0e99ff4e6e594c02a6af6414d12f42b0,9414,11.0
sg:89a84df3983f47c0bfa40999c5d16347,8297,19.0
sg:f46691d616334a498680c754f9b9edf7,9977,20.0
sg:af22f53ee93c465489a3d7c874370baf,2313,12.5
sg:5073f706b92941089b2444ca20b8533e,3312,23.0
sg:45acb2f9fb064b05ad816aa7198e2ba2,14399,19.5
sg:9baf998cafb8437b9d4d60400c572d8f,12790,16.0
sg:96b46ea15474491cb5a29031cbac4e23,22402,134.0
sg:988711518b094fa5874067f870731fe7,15293,29.0
sg:c877418aa033412b96378605888d8c55,17167,16.5
sg:053a2f08403b43cd88acdfc16487c225,49115,20.0
sg:2be8b5a0b9524b00b63b625f8600dfd4,12302,20.0
sg:0d1a5494e90546afa7edec0ddfefa95e,8323,16.0
sg:81c99b5024e84363a79f0de5866fe3f2,120912,24.0
sg:2e904baf9ae24acfb7d5e2618ffeaf1c,9443,27.0
sg:7bf56d6ae0e4435592f7d9e6530ec330,11613,9.0
sg:1133168f9bb14e4fb030a2a736bf88ad,227778,24.0
sg:7f6357dd712645d4b8beb341c41ac3ca,38205,18.0
sg:77aa5ede18984b7cbbf42948e84d385c,16657,12.0
sg:865e1f23e2334d8199133c81d9ea16f3,56584,21.0
sg:3d513be6247c438c84b8c62bd7444cd4,7852,14.0
sg:cbcf146174d04f4dbb9de19089beccba,9409,11.0
sg:179254cee8144199b1fb92ce2415c05d,4073,17.0
sg:031967301c8a4f27ad7cece0a0dac516,11428,11.0
sg:ac1c5402da7448a58238b0bf7a7039a8,107906,21.0
sg:2f88449a7ab446f78685057651b256a5,7110,22.5
sg:261c7c795ac94ce8abfb2d82ea971428,7553,19.0
sg:90a14a5e73d4411da4bde1a83536d055,25302,40.0
sg:d041ea6c026e476e97b8072a1407111d,9785,12.0
sg:b0171cb8f46e41f58f445688839e2995,11753,23.0
sg:097463d356f2483d85ab57dbcaca2af1,13333,14.0
sg:76a5311d9aa54b3086e1d2e83be44208,18647,21.0
sg:0d23e7a6fba64b2390018c53e97b6c0e,17880,15.0
sg:1d71cf2ef6d7460e8c8e0ca30e4f9da0,4280,20.0
sg:efe93c3557394e1bb990f8afd00e9601,6580,11.5
