id,feet,median
sg:ce1b89da32264b0dad0c48b0f0efa58d,37671,20.0
sg:26c66fbff11e4b319196a4ff91dbbbf4,381168,22.0
sg:fa761edbda2a4fc48f84e63aa388b9fe,9086,24.0
sg:b9baa2b7b7d94bc98e4c28fe179523b7,224370,22.0
sg:7f8f99a270a347c3a8b12e92ce182d33,29080,22.0
sg:b447ce0f92a24282a7eab015dc18a310,13053,12.0
sg:208f9acd36dc455b85cfb250d7af351d,7129,13.0
sg:dfc55699af2349a69942f147560f9cb1,31157,21.0
sg:f1e91140ca014abfb429ea9983869db4,18032,254.0
sg:2f441e0d7a7642b1a8c031530a342dcf,5294,52.0
sg:b059b57755b44bcd98a340ca1e31d44a,14992,13.0
sg:2423711409914af8ae4cad3612fa5a2a,7444,56.0
sg:e85d8f4601d34701bfae103878848268,8538,16.0
sg:5e6a42a6178145c2ad3f6012828814d5,4060,11.5
sg:9f14cd02c893430d9c290aa23fc30be3,184910,23.0
sg:c2c0f9f685eb4195885ba0f355c70dab,5197,17.0
sg:f0b8b728b0884d66ad04a8a8636a8f2e,8566,12.5
sg:281ca5082160467495084ff09e80c651,4484,21.0
sg:4a0d5d519a5f4993ac7979ab312351b8,29726,30.0
sg:89c2204d35a742a9844a4fc161edcd93,10879,11.0
sg:dc0e8144f452403ea1abcf8401524e3f,30356,21.0
sg:6ea1b460a8f44fa396b79bfe48b2fc75,12538,14.0
sg:4678dc16d53f47769a549047c57bcfc0,6156,10.0
sg:50b4c02786414f98b4f450595d1bba6e,60963,39.0
sg:12ad2f62d3514637b1583f5fe0b6e8c4,17328,26.0
sg:bc8123beb2ff401a80623461fdf84ae3,4294,19.0
sg:15b6afff1e834cc2a197c33832d9e24f,9088,17.0
sg:7ca4f7d0d97d42bd98ccf47a2f850888,15036,11.0
sg:bfc0ca4f520b494abe40f64db9c368e2,5673,19.0
sg:d1740acb38a248f1b0c3844918d3fd2a,2248,17.0
sg:244450c282474ea1aa753c23e1d36076,5030,13.0
sg:068a8abc3f0940faa7ca6e419241b60c,9888,15.0
sg:dfb56896c1844cf68b5fbde3094198d4,7631,19.0
sg:ea43254e849a429e8d17687ec8f65f13,13994,14.5
sg:eb0cb51661be420c845fb4d0739f4165,13424,10.5
sg:569fbdd3dd2b4abab65966b11b3af919,14352,16.0
sg:f4754cea94d948518b63ee5fda12e239,5924,27.0
sg:6720de9cd9b5410da507e6d8ba302309,8856,12.0
sg:ba2a7080e42e477e99702a4bccb11000,82631,246.5
sg:43535d28ec1442f2970323dafddce4ad,11228,19.0
sg:0c079545b990489fb11c17bcaf1f0a69,8544,11.5
sg:10a7ccfd75d64bb4ad579075e169beb1,14653,14.0
sg:3f4ea476e16a4e048bb47bad49e381cb,6134,10.0
